"race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
6,20,1,2,1,5,"(nu",3,4,4,3,3,3,3,5,2,5,4,5,5,5,3,3,4,3,3,1,1,4,1,4,2,5,2,5,4,5,4,2,4,1,4,2,4,3,4,5,3,2,5,2,4,1,4,2,4,5
3,36,1,1,1,2,"(nu",3,2,4,3,3,3,4,3,3,3,3,3,2,1,3,3,2,2,4,3,1,4,5,5,1,4,2,5,5,4,4,2,3,4,2,1,3,2,2,3,4,3,4,2,4,2,4,4,5,4
3,40,2,1,1,2,"(nu",2,3,4,2,4,4,2,5,4,5,5,3,5,1,4,5,5,4,4,5,3,2,2,3,3,5,5,5,5,5,1,4,4,4,1,4,5,5,2,1,5,1,4,3,5,2,5,4,5,5
11,18,1,2,1,2,"(nu",4,1,5,4,5,1,5,1,5,3,4,4,4,3,3,3,4,2,3,2,2,5,2,4,3,4,1,3,5,4,3,3,4,3,3,4,3,1,3,5,4,1,4,4,4,3,4,3,3,4
11,63,2,1,1,1,"(nu",1,4,4,4,3,3,3,5,1,4,5,2,3,4,4,4,3,4,4,4,4,2,2,4,2,4,3,3,3,3,2,4,3,4,3,3,2,3,3,3,2,2,5,2,2,2,4,3,2,2
3,17,1,2,1,5,"(nu",3,3,4,4,4,2,3,5,1,4,2,3,2,1,2,1,3,3,2,1,5,4,2,5,3,4,1,5,5,5,4,2,2,1,2,1,5,2,4,4,1,4,3,3,3,1,2,1,2,4
11,18,2,2,1,1,"(nu",1,5,1,1,5,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,1,5,5,1,1,1,5,5,1,5,5,5,5,1,5,5,5,5,1,1,1,5,5
3,17,1,2,1,1,"(nu",4,2,4,3,2,3,1,5,3,5,4,4,4,2,2,3,4,3,3,3,2,4,2,3,2,4,2,3,3,2,2,5,2,3,1,4,3,3,2,2,5,3,5,3,4,1,5,4,2,4
13,18,2,2,1,5,"(nu",1,5,5,5,5,5,5,5,5,1,1,5,5,1,5,1,5,5,1,1,1,5,1,5,5,5,1,5,1,5,5,1,5,1,5,1,1,1,5,5,5,1,5,1,5,1,5,1,1,5
3,17,1,2,1,3,"(nu",3,3,4,4,4,2,3,5,1,3,2,5,2,1,2,1,3,1,2,1,2,4,1,4,1,4,2,5,5,5,4,2,2,2,4,2,4,2,4,4,1,4,4,3,3,2,2,1,2,4
3,17,1,1,1,4,"(nu",2,4,3,4,3,4,3,3,2,4,4,3,5,2,3,4,4,3,3,3,1,5,2,5,2,5,1,5,5,4,3,3,3,3,3,4,2,2,2,3,3,5,3,4,4,3,3,3,5,3
3,68,2,1,1,2,"(nu",1,3,3,4,3,2,1,5,3,4,1,5,2,5,1,1,1,1,1,1,1,5,1,4,2,5,2,4,5,4,3,5,4,1,3,5,2,2,4,4,5,1,5,1,5,1,5,5,5,5
11,35,2,2,1,1,"(nu",1,4,4,4,3,4,2,4,3,3,4,4,4,2,4,3,4,3,3,3,2,4,1,5,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,2,1,5,2,4,5,4,2,4,4
13,62,1,2,1,1,"(nu",1,5,1,5,1,5,1,5,1,5,1,1,5,5,1,5,1,1,5,1,1,1,1,5,1,5,5,5,5,5,1,5,1,5,5,5,5,1,5,5,5,5,5,5,1,5,1,1,5,5
11,17,2,2,1,1,"(nu",3,1,4,2,5,2,5,2,5,3,5,3,5,4,4,5,5,5,4,4,1,5,2,5,3,5,2,4,5,5,3,2,3,2,1,5,3,3,1,2,3,4,3,3,4,2,4,2,2,4
1,36,2,1,1,1,"(nu",1,2,2,4,2,3,1,5,1,3,3,2,5,5,1,3,2,1,2,2,5,1,5,2,4,1,5,1,2,2,5,5,4,2,2,4,5,1,5,5,4,1,4,1,4,2,5,2,5,5
4,17,2,2,1,1,"(nu",1,1,5,5,4,2,4,4,4,5,1,5,3,5,1,2,3,3,1,1,1,5,2,3,2,2,1,5,3,4,1,2,5,2,2,2,5,2,2,3,3,1,4,1,3,1,3,1,2,3
3,27,1,2,1,5,"(nu",2,2,2,2,4,2,1,4,2,3,2,2,4,3,2,2,3,2,1,3,2,4,1,4,2,3,2,3,4,4,4,4,5,2,4,4,3,1,3,4,4,2,4,2,4,1,4,4,5,4
3,36,2,1,2,1,"(nu",4,2,4,3,4,2,4,3,3,3,4,3,4,4,4,5,5,4,3,4,2,3,3,4,2,3,2,3,4,4,2,4,4,4,3,5,2,2,2,4,4,2,4,2,3,3,4,4,4,3
11,18,2,2,1,1,"(nu",1,5,4,4,2,4,2,5,4,4,2,3,4,1,4,4,5,4,4,4,4,3,3,4,5,5,4,3,4,4,4,1,4,1,3,3,5,3,4,4,4,2,4,1,3,4,5,3,2,4
5,32,2,2,1,1,"(nu",3,3,4,3,3,3,1,3,3,4,3,2,4,3,2,4,3,3,4,3,1,4,1,5,3,5,3,5,4,4,4,1,4,2,5,1,5,1,4,4,4,2,4,3,4,2,4,3,4,3
1,20,1,2,1,5,"(nu",4,2,4,2,4,2,3,3,4,2,3,4,4,4,2,3,3,2,4,2,2,5,4,4,2,2,2,3,3,5,2,5,4,4,3,5,4,2,2,4,5,1,4,2,4,2,5,4,4,4
6,40,1,1,1,1,"(nu",4,1,4,2,4,2,4,2,4,4,2,3,4,3,2,2,2,2,2,2,2,4,2,4,2,3,2,2,4,4,3,2,4,1,4,2,5,3,3,4,4,2,5,2,5,1,5,3,5,5
9,22,2,2,1,2,"(nu",4,1,5,5,5,1,5,5,4,5,4,1,4,1,1,3,4,4,3,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,1,1,1,5,1,5,1,3,4
4,14,2,2,2,1,"(nu",3,5,4,4,1,4,2,5,1,5,2,2,3,3,3,3,3,2,1,3,2,4,1,5,5,4,3,4,4,2,1,1,4,1,4,1,4,2,3,4,2,3,4,3,3,3,3,1,3,3
3,17,1,2,1,5,"(nu",2,3,3,4,3,5,2,3,3,5,3,4,3,3,4,3,3,3,5,2,3,2,3,3,4,3,4,3,4,3,3,3,4,4,4,4,4,3,4,3,2,4,4,4,3,1,2,1,4,3
3,52,2,1,1,2,"(nu",2,5,3,4,3,2,2,3,3,4,3,2,3,1,3,2,2,1,2,3,3,4,1,4,2,3,2,5,4,4,4,2,5,2,4,2,4,3,5,4,5,1,4,4,4,1,5,3,4,5
3,16,1,2,1,1,"(nu",1,1,4,2,5,1,4,2,5,2,5,4,5,2,4,4,2,2,4,2,2,5,4,4,2,4,2,4,5,2,1,2,4,4,2,4,2,3,4,2,5,1,5,2,5,1,5,5,4,5
4,33,2,1,1,5,"(nu",1,5,2,5,1,3,1,5,1,4,2,5,2,3,1,1,2,1,1,3,2,2,1,4,5,4,5,2,4,3,3,3,5,1,2,2,4,1,2,3,3,1,4,1,3,3,5,1,4,3
3,30,1,2,1,1,"(nu",1,4,2,5,4,4,2,5,1,4,5,1,5,1,4,5,5,5,5,5,2,3,3,4,3,5,3,4,4,4,3,4,4,4,2,4,3,3,4,4,5,3,2,3,3,4,4,5,5,3
3,29,2,1,1,1,"(nu",2,4,2,3,3,4,2,3,3,3,4,1,4,2,3,2,4,4,3,4,3,3,2,5,1,4,2,4,4,3,3,2,4,3,3,3,3,3,2,5,4,1,4,2,4,1,3,4,2,4
3,27,1,2,1,1,"(nu",2,3,2,5,4,1,3,4,2,3,5,2,5,1,2,4,4,4,4,5,1,4,1,4,1,3,2,4,3,4,4,4,5,2,3,4,4,2,4,4,5,1,5,1,5,1,5,5,5,5
11,20,2,2,1,1,"(nu",1,5,3,4,3,1,1,5,1,5,3,4,3,3,2,4,2,3,3,3,3,4,1,3,2,3,3,3,4,3,3,3,3,2,3,1,1,3,3,4,3,3,3,2,3,3,2,4,4,3
4,23,2,1,1,5,"(nu",2,3,4,3,3,2,3,3,3,3,4,2,4,3,4,4,4,4,4,2,4,4,1,4,1,4,1,3,3,3,3,3,3,4,3,4,2,4,2,3,1,3,3,2,3,3,3,1,3,3
3,17,1,2,1,1,"(nu",1,5,3,5,2,5,2,5,2,5,1,5,3,2,2,3,4,4,5,4,1,4,2,5,2,5,2,4,4,3,1,5,4,3,1,5,2,2,1,5,4,3,2,4,4,4,5,4,5,3
4,25,2,1,1,1,"(nu",3,4,3,3,2,4,2,3,4,5,3,2,5,4,4,5,4,5,4,4,4,4,1,4,3,4,2,3,3,3,3,3,4,2,3,4,1,2,1,2,4,4,2,3,4,4,4,2,5,4
0,32,1,2,1,2,"(nu",1,1,3,4,2,2,1,5,2,3,5,3,4,2,2,3,3,3,4,3,3,3,4,4,4,3,4,4,4,3,5,1,4,1,3,1,5,1,5,5,5,2,4,3,3,2,5,4,3,4
4,37,2,1,1,1,"(nu",3,2,2,4,1,4,1,1,4,4,4,2,4,2,4,1,5,4,4,4,2,5,1,4,3,5,2,4,4,4,4,5,4,4,4,3,4,1,4,4,3,3,5,1,4,2,2,3,3,4
3,31,1,2,1,5,"(nu",5,1,5,1,5,1,5,1,3,1,2,2,2,5,1,1,1,1,1,1,1,5,1,4,2,4,1,5,4,5,4,1,4,1,5,1,5,1,5,5,4,2,4,2,4,1,4,4,3,5
3,33,2,1,1,5,"(nu",4,1,5,3,4,2,5,2,5,5,2,4,4,1,5,5,5,5,5,5,1,5,4,5,1,5,1,5,5,5,3,4,4,4,1,2,3,5,2,1,4,1,5,1,5,1,5,4,5,5
11,20,2,1,1,1,"(nu",1,2,3,5,5,1,1,2,3,2,1,5,5,3,4,3,5,3,4,5,2,5,1,5,1,5,3,2,3,3,1,4,1,4,1,5,1,2,4,5,3,5,5,5,5,1,4,3,2,5
13,25,1,2,1,2,"(nu",4,1,5,2,5,2,5,2,4,4,4,4,5,2,3,4,4,2,4,3,2,5,4,4,2,5,2,4,4,4,3,5,4,4,2,4,4,2,4,4,4,4,5,1,4,2,3,4,5,4
11,19,2,2,1,1,"(nu",3,4,5,2,5,3,3,5,3,5,1,2,5,3,5,5,3,5,5,5,5,5,5,2,1,5,3,5,5,5,1,3,5,3,5,5,3,5,5,5,3,2,5,2,5,1,5,5,5,5
3,44,1,2,1,2,"(nu",5,1,5,2,5,1,5,2,4,2,3,3,4,2,3,2,2,2,2,2,1,5,1,5,2,4,1,5,5,5,3,5,4,4,1,5,3,5,2,2,4,1,5,2,5,1,4,5,5,5
4,36,1,1,1,1,"(nu",1,5,1,5,1,5,3,5,5,5,4,3,3,2,4,2,1,2,2,3,5,1,4,1,4,3,4,2,2,3,4,3,5,2,3,3,5,1,3,3,5,1,5,1,5,1,5,4,4,5
11,27,1,2,1,2,"(nu",4,3,3,3,3,2,2,2,4,4,2,4,4,2,2,3,4,4,3,4,2,3,1,4,2,2,2,5,3,5,3,2,4,2,3,2,4,1,3,4,5,2,5,2,4,1,5,5,4,4
3,59,1,2,1,2,"(nu",3,3,5,2,4,2,3,2,4,3,4,3,3,4,2,2,2,2,2,1,1,2,2,4,2,4,2,5,4,4,2,2,4,2,3,2,5,2,4,4,2,2,3,2,4,2,4,1,3,4
11,25,2,2,1,2,"(nu",2,4,5,5,4,4,2,1,1,4,4,4,5,5,2,5,5,5,4,4,4,4,3,5,2,5,2,4,5,3,3,3,5,1,5,1,5,2,5,5,3,4,5,5,3,1,5,1,3,4
1,14,2,2,3,1,"(nu",1,3,3,4,2,3,1,5,2,4,5,3,5,3,5,5,5,5,5,5,2,4,5,2,5,1,4,2,2,4,4,4,4,5,1,5,1,4,4,4,5,1,5,2,5,1,4,5,5,5
3,19,2,2,1,1,"(nu",3,2,4,2,3,3,4,4,5,3,4,2,4,4,4,4,4,4,4,4,3,4,1,4,2,4,2,4,4,4,2,5,4,4,1,4,2,3,1,4,3,2,3,1,4,1,5,3,3,4
3,48,1,1,1,1,"(nu",1,1,2,2,4,1,2,3,4,3,4,2,4,2,3,1,2,3,2,3,5,4,3,1,3,1,4,4,1,4,4,2,5,1,2,2,5,2,2,4,5,1,5,2,5,1,5,3,3,4
3,49,1,1,1,1,"(nu",4,1,5,2,5,1,5,1,4,1,2,4,3,4,3,3,2,1,2,2,1,5,1,5,1,5,1,5,5,5,4,1,2,3,4,1,3,2,2,3,4,1,4,2,4,1,4,4,4,5
3,22,1,1,2,1,"(nu",2,4,5,2,4,2,1,4,1,4,2,4,2,4,2,1,2,2,2,2,1,5,2,4,1,4,1,4,4,3,4,2,3,2,4,2,4,2,4,4,4,1,4,1,2,2,4,3,5,4
1,21,1,1,1,2,"(nu",4,2,5,4,5,3,4,3,4,2,1,4,4,4,2,2,2,2,2,2,2,4,2,4,2,4,2,4,4,4,4,2,5,2,3,2,4,2,4,4,3,2,3,1,4,2,4,3,4,4
3,22,1,2,1,1,"(nu",2,1,1,4,2,2,3,5,1,5,5,2,5,5,5,5,5,5,5,5,5,4,3,4,1,5,2,4,5,4,3,2,4,5,2,4,4,3,3,3,2,4,5,3,3,1,4,3,5,5
3,27,1,1,2,1,"(nu",1,5,2,5,1,5,1,5,1,5,4,4,4,2,2,1,2,2,5,3,5,2,2,2,5,2,4,2,2,3,2,4,4,4,2,4,4,3,2,4,4,2,4,2,5,1,4,4,3,4
11,16,2,2,1,1,"(nu",5,3,5,4,3,5,4,4,5,5,2,5,5,4,4,3,5,5,5,3,5,3,4,5,3,5,2,4,5,4,2,4,3,5,2,4,5,3,3,3,1,3,4,3,4,2,4,3,4,3
3,40,1,2,1,1,"(nu",4,1,5,4,5,1,3,2,3,2,3,4,4,2,3,3,3,3,5,3,1,5,3,4,2,5,1,3,4,4,4,2,4,3,2,3,3,2,4,5,4,3,3,4,4,1,4,3,4,4
3,25,1,1,1,1,"(nu",1,5,1,5,1,5,1,5,1,5,5,1,5,2,5,1,1,1,1,2,1,2,2,5,2,5,1,2,5,4,2,1,2,1,4,2,5,1,1,4,3,3,2,1,2,2,1,2,5,2
3,16,1,2,1,1,"(nu",4,2,4,3,3,2,4,2,4,2,5,3,5,4,2,3,2,1,3,3,1,5,1,5,5,5,1,5,5,5,3,1,5,1,3,1,2,3,2,5,3,1,5,1,5,1,4,2,5,5
11,28,1,1,1,1,"(nu",3,2,5,3,4,2,4,5,3,3,4,3,3,3,1,2,2,4,4,2,2,5,4,4,2,4,2,5,4,4,3,2,2,2,2,2,3,1,2,2,4,2,4,2,3,2,4,2,4,3
3,28,2,1,1,1,"(nu",2,5,3,4,4,4,1,5,5,5,5,3,4,3,3,2,4,4,3,3,1,5,3,4,1,4,1,5,4,4,2,3,4,4,4,3,3,5,3,1,4,2,3,2,3,3,3,3,1,3
4,29,2,1,1,1,"(nu",5,2,1,2,4,5,1,1,5,4,2,5,5,3,3,4,4,3,4,3,5,5,1,4,4,5,2,3,4,5,3,4,4,2,2,3,1,3,4,3,3,1,3,3,5,1,5,1,4,4
3,23,1,2,1,1,"(nu",2,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,2,4,2,3,4,3,4,4,3,3,3,3,3,3,2,3,2,3,2,3,3,4,3,4,2,4,2,4,2,4,4,5,4
11,39,1,1,1,1,"(nu",3,4,3,3,4,3,3,4,4,4,3,4,4,2,4,3,3,3,4,4,2,3,2,4,3,4,3,4,4,4,4,3,4,2,2,4,4,2,4,4,3,2,4,2,4,2,4,2,4,4
3,20,1,1,1,1,"(nu",1,3,2,5,3,2,2,5,1,4,5,4,5,2,3,2,3,3,3,4,1,3,3,3,1,3,1,5,2,3,4,3,4,3,3,2,5,3,3,3,5,2,5,3,3,1,3,4,3,4
3,17,1,2,1,1,"(nu",3,5,3,3,1,3,4,2,4,5,4,3,4,2,3,4,4,4,3,4,2,5,1,5,2,4,1,4,5,4,2,4,5,3,3,4,3,3,4,3,3,2,5,2,4,2,3,3,4,5
1,18,1,1,1,1,"(nu",3,1,3,3,3,1,3,5,4,5,4,4,5,3,4,1,2,2,5,3,1,4,2,5,2,5,2,4,5,4,4,4,5,2,1,2,2,4,3,5,5,1,5,1,5,5,5,5,5,5
3,27,2,2,1,3,"(nu",3,2,5,2,3,2,4,1,4,4,2,4,4,2,3,2,3,2,2,1,2,4,1,5,2,4,1,4,4,3,4,1,4,3,4,1,2,1,3,4,5,1,5,2,4,1,4,3,4,4
3,13,1,2,1,1,"(nu",3,1,5,2,4,1,4,2,5,2,3,3,5,2,4,1,5,2,3,4,2,4,3,4,2,3,1,2,4,2,3,2,2,3,1,2,2,3,2,2,3,2,5,1,4,2,3,3,3,3
3,49,1,2,1,5,"(nu",1,4,2,4,2,3,1,5,1,4,3,2,5,2,4,3,2,3,3,2,3,4,3,3,3,2,3,3,2,3,4,5,2,4,1,4,1,2,2,2,4,1,5,1,4,1,5,4,4,4
3,50,1,2,1,1,"(nu",3,1,5,3,5,2,4,4,3,2,2,4,3,3,2,2,3,3,3,2,2,4,1,4,3,3,3,3,3,4,4,2,3,1,3,3,4,2,3,3,4,1,5,3,4,1,5,3,4,4
3,16,1,1,1,5,"(nu",1,1,3,2,5,1,1,1,2,5,5,2,5,1,5,5,5,5,5,5,1,5,5,5,2,5,1,5,5,1,1,5,5,5,1,5,5,5,3,5,5,1,5,1,5,1,5,5,5,5
11,25,2,2,1,1,"(nu",4,4,3,5,2,4,2,2,4,3,4,2,4,2,4,5,4,4,3,4,4,4,2,4,2,4,2,2,4,2,2,3,3,2,1,2,1,1,2,4,3,3,3,3,4,3,4,2,2,3
4,19,2,2,1,1,"(nu",2,1,5,1,5,1,5,5,5,5,4,2,5,5,4,5,5,1,5,5,5,5,1,5,1,5,1,4,5,5,4,5,4,2,3,5,5,3,3,3,4,1,4,1,4,1,5,2,5,4
3,50,1,1,1,1,"(nu",4,1,5,1,5,1,5,2,5,1,3,3,5,3,4,5,3,3,4,3,1,5,1,5,1,5,1,5,5,5,3,3,4,3,1,3,2,3,4,4,5,2,5,3,4,1,5,5,5,4
3,19,1,2,1,5,"(nu",2,2,3,3,3,2,2,3,3,4,3,3,4,2,4,2,3,2,3,2,3,3,2,4,3,3,3,3,3,4,4,2,4,3,3,4,3,2,5,4,4,1,5,1,5,1,5,4,4,5
4,26,2,2,1,1,"(nu",1,4,3,2,3,4,1,1,5,5,4,3,4,4,5,3,4,3,4,3,3,5,2,4,2,4,2,5,5,5,5,1,5,1,2,1,5,3,4,5,5,3,3,2,4,2,4,4,5,4
3,16,1,2,3,1,"(nu",1,4,2,5,2,4,1,5,1,5,2,2,3,2,2,3,2,1,4,3,3,4,1,4,2,3,2,3,3,2,4,2,4,2,3,2,5,2,4,5,5,1,4,1,5,1,5,5,2,5
13,57,2,2,1,5,"(nu",2,3,3,3,3,3,2,3,4,5,3,3,3,3,3,2,2,3,3,3,2,3,3,3,5,4,3,3,4,5,4,2,2,2,4,3,5,2,4,4,4,3,5,3,5,2,5,4,5,5
3,42,1,2,1,2,"(nu",1,2,2,4,4,3,1,4,2,3,4,3,4,3,4,5,1,1,3,2,2,2,2,4,4,5,5,4,5,5,4,2,4,2,4,2,5,1,4,4,4,2,3,1,5,1,4,3,5,5
11,19,1,1,1,1,"(nu",2,2,3,4,2,2,1,4,4,5,4,3,4,2,1,2,5,5,5,4,4,5,5,3,2,2,2,3,2,2,2,4,4,4,2,4,3,3,2,2,2,4,2,1,5,4,2,4,4,4
1,16,1,1,1,1,"(nu",3,1,4,3,3,2,4,4,5,4,3,4,3,4,2,1,5,3,2,2,4,3,1,5,2,3,4,5,5,5,3,2,4,3,2,4,4,3,4,3,5,2,4,2,5,1,5,5,4,4
3,20,2,1,1,2,"(nu",2,1,5,2,5,1,3,4,3,4,1,4,4,3,2,2,1,1,2,2,1,5,1,4,2,4,1,4,4,4,4,1,4,1,3,2,5,1,3,4,5,1,4,2,4,1,5,4,5,4
13,38,1,2,1,2,"(nu",2,3,4,2,4,1,3,3,5,2,2,4,3,5,2,3,2,2,2,2,1,3,1,4,2,3,2,4,4,5,4,3,5,3,5,1,5,2,5,5,5,1,3,5,5,1,5,5,5,5
3,44,2,1,1,2,"(nu",2,4,4,4,3,2,2,3,3,4,3,4,3,4,2,2,3,2,2,2,2,4,3,4,2,4,2,3,4,4,4,3,4,3,4,3,4,2,4,4,4,1,3,3,4,3,4,2,4,3
3,63,1,1,1,1,"(nu",1,3,3,4,4,2,4,4,2,5,4,3,4,2,4,5,4,4,4,4,2,4,3,3,4,4,4,2,2,4,4,5,4,3,1,4,4,1,4,5,4,2,5,1,5,1,3,4,5,5
4,19,2,1,1,1,"(nu",3,4,5,5,5,4,4,1,5,1,1,4,4,3,1,1,1,1,4,1,1,4,2,5,1,3,1,1,5,5,5,1,5,1,4,1,5,1,5,5,4,1,5,1,5,1,5,2,4,5
13,23,0,1,3,2,"(nu",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,34,2,1,1,1,"(nu",1,5,2,4,2,5,1,4,2,5,5,2,5,1,4,5,5,5,5,5,5,5,1,3,1,4,1,2,4,3,4,5,5,4,2,1,5,4,4,2,5,1,4,1,2,2,5,5,5,3
